"","cellLineName","ann"
"NOS1","NOS1","Bone"
"CHLA10","CHLA10","Bone"
"OS052","OS052","Bone"
"SCCH196","SCCH196","Bone"
"CAL72","CAL72","Bone"
"CCLFPEDS0010T","CCLFPEDS0010T","Bone"
"143B","143B","Bone"
"TC205","TC205","Bone"
"NRHGCT2","NRHGCT2","Bone"
"CCLFPEDS0019T","CCLFPEDS0019T","Bone"
"HEMCSS","HEMCSS","Bone"
"SAOS2","SAOS2","Bone"
"SKNEP1","SKNEP1","Bone"
"EW24","EW24","Bone"
"ES7","ES7","Bone"
"EW1","EW1","Bone"
"EW11","EW11","Bone"
"TC106","TC106","Bone"
"ES5","ES5","Bone"
"EW3","EW3","Bone"
"EW18","EW18","Bone"
"EWS834","EWS834","Bone"
"EW16","EW16","Bone"
"ES3","ES3","Bone"
"CAL78","CAL78","Bone"
"NY","NY","Bone"
"CBAGPN","CBAGPN","Bone"
"ES1","ES1","Bone"
"TTC466","TTC466","Bone"
"ES8","ES8","Bone"
"CHLA9","CHLA9","Bone"
"NCCOS1X2C1","NCCOS1X2C1","Bone"
"HUO9","HUO9","Bone"
"NCCDCS1C1","NCCDCS1C1","Bone"
"CADOES1","CADOES1","Bone"
"C242","C242","Bone"
"EW8","EW8","Bone"
"TC71","TC71","Bone"
"SKES1","SKES1","Bone"
"TC32","TC32","Bone"
"MCIXC","MCIXC","Bone"
"COGE352","COGE352","Bone"
"EW7","EW7","Bone"
"EW13","EW13","Bone"
"CHLA218","CHLA218","Bone"
"CHSA0011","CHSA0011","Bone"
"SKPNDW","SKPNDW","Bone"
"CHLA258","CHLA258","Bone"
"ES6","ES6","Bone"
"CS1","CS1","Bone"
"OS457","OS457","Bone"
"A673","A673","Bone"
"EWS502","EWS502","Bone"
"C396","C396","Bone"
"NCCES1C1","NCCES1C1","Bone"
"HS860T","HS860T","Bone"
"SJSA1","SJSA1","Bone"
"CHSA8926","CHSA8926","Bone"
"CHLA99","CHLA99","Bone"
"SW1353","SW1353","Bone"
"ES4","ES4","Bone"
"RDES","RDES","Bone"
"OSA1777","OSA1777","Bone"
"EW22","EW22","Bone"
"CHSA0108","CHSA0108","Bone"
"CHLA32","CHLA32","Bone"
"OS252","OS252","Bone"
"OS526","OS526","Bone"
"U2OS","U2OS","Bone"
"HSOS1","HSOS1","Bone"
"MG63","MG63","Bone"
"MHHES1","MHHES1","Bone"
"UCH2","UCH2","Bone"
"G292CLONEA141B1","G292CLONEA141B1","Bone"
"OS186","OS186","Bone"
"TC138","TC138","Bone"
"CCLFPEDS0007T","CCLFPEDS0007T","Bone"
"OS384","OS384","Bone"
"OS525","OS525","Bone"
"HUO3N1","HUO3N1","Bone"
"C393","C393","Bone"
"SKNMC","SKNMC","Bone"
"EW12","EW12","Bone"
"HOS","HOS","Bone"
"HCC1569","HCC1569","Breast"
"HCC1428","HCC1428","Breast"
"CAL51","CAL51","Breast"
"UACC3199","UACC3199","Breast"
"HCC1395","HCC1395","Breast"
"UACC893","UACC893","Breast"
"SKBR3","SKBR3","Breast"
"AU565","AU565","Breast"
"BT474","BT474","Breast"
"MDAMB175VII","MDAMB175VII","Breast"
"HCC70","HCC70","Breast"
"MDAMB361","MDAMB361","Breast"
"UACC3133","UACC3133","Breast"
"HCC202","HCC202","Breast"
"MDAMB468","MDAMB468","Breast"
"CAMA1","CAMA1","Breast"
"SUM190PT","SUM190PT","Breast"
"HMC18","HMC18","Breast"
"ZR751","ZR751","Breast"
"MDAMB134VI","MDAMB134VI","Breast"
"BT483","BT483","Breast"
"VP267","VP267","Breast"
"UACC812","UACC812","Breast"
"BT549","BT549","Breast"
"HS578T","HS578T","Breast"
"SUM44PE","SUM44PE","Breast"
"MDAMB157","MDAMB157","Breast"
"21NT","21NT","Breast"
"21MT2","21MT2","Breast"
"HDQP1","HDQP1","Breast"
"SUM159PT","SUM159PT","Breast"
"CAL148","CAL148","Breast"
"MDAMB415","MDAMB415","Breast"
"COLO824","COLO824","Breast"
"SUM1315MO2","SUM1315MO2","Breast"
"OCUBM","OCUBM","Breast"
"EVSAT","EVSAT","Breast"
"SUM229PE","SUM229PE","Breast"
