Signature,Proposed_Etiology,freebayes,Monopogen,SAMtools,scAllele,scMutrace,Scomatic,Strelka2,VarScan2,WES
SBS1,Deamination of 5-methylcytosine,0.008,0.014,0.023,0.007,0.008,0.022,0.009,0,0.066
SBS3,Defective HR DNA repair: BRCA1/2 mutation,0.672,0,0,0,0,0,0.501,0,0
SBS5,Unknown,0,0.29,0.333,0,0.143,0.235,0.018,0,0
SBS7a,Ultraviolet light exposure,0.096,0.333,0.074,0.267,0.468,0.11,0,0.204,0.296
SBS7b,Ultraviolet light exposure,0.224,0.362,0.327,0,0.381,0.632,0,0.387,0.416
SBS11,Temozolomide treatment,0,0,0,0.227,0,0,0,0,0
SBS19,Unknown,0,0,0,0,0,0,0,0,0.222
SBS40b,Unknown,0,0,0,0,0,0,0.372,0,0
SBS43,Sequencing artefact,0,0,0,0,0,0,0.1,0,0
SBS46,Sequencing artefact,0,0,0.243,0.499,0,0,0,0,0
SBS58,Sequencing artefact,0,0,0,0,0,0,0,0.409,0
