,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,type
GO:0044092,BP,GO:0044092,negative regulation of molecular function,18/213,466/13600,0.0386266094420601,2.46629994559633,4.06273904329737,0.000392705778497049,0.10579892194928,0.10095191830575,MAPK8IP1/PTPRJ/IRS2/RB1/PSEN1/SERPINB2/ATP2B4/JUN/PTPN1/CAB39/ID2/RIPOR2/SERPINB1/STK38/CDKN1A/LYN/ARFGEF1/TESK1,18,healthy
GO:0006397,BP,GO:0006397,mRNA processing,17/213,453/13600,0.0375275938189845,2.39612805604784,3.8120859241878,0.000786461629088255,0.120997564351455,0.115454259897456,HNRNPF/CPSF6/UPF3A/SRSF5/RBBP6/DDX42/DDX5/SF3A2/SRSF11/RBM39/SON/TSEN2/METTL14/SRRT/HNRNPA2B1/NCBP1/SETX,17,healthy
GO:0009100,BP,GO:0009100,glycoprotein metabolic process,15/213,328/13600,0.0457317073170732,2.91995877705256,4.43978864816836,0.000207046884121462,0.0853920506369518,0.0814799542474988,CHST11/PSEN1/MPDU1/SULF2/PLCB1/GMPPA/GFPT1/NGLY1/GALNT7/DSE/EXTL3/FUT10/ARFGEF1/ALG2/DPM2,15,healthy
GO:0044843,BP,GO:0044843,cell cycle G1/S phase transition,13/213,224/13600,0.0580357142857143,3.70556673373575,5.15016077060166,5.23061575814626e-05,0.0633943404519419,0.0604900329836953,WAC/NPAT/RB1/ATP2B4/PLCB1/ID2/JADE1/CCNI/EIF4E/CDKN1A/CDK6/EIF4EBP1/RPS6,13,healthy
GO:0043086,BP,GO:0043086,negative regulation of catalytic activity,13/213,244/13600,0.0532786885245902,3.40183175556069,4.77530315371078,0.000124519819754089,0.0724874955914977,0.0691666001724426,MAPK8IP1/PTPRJ/IRS2/RB1/SERPINB2/ATP2B4/PTPN1/SERPINB1/STK38/CDKN1A/LYN/ARFGEF1/TESK1,13,healthy
GO:0009101,BP,GO:0009101,glycoprotein biosynthetic process,13/213,271/13600,0.047970479704797,3.0629038684753,4.32679688775922,0.000347990030374121,0.10579892194928,0.10095191830575,CHST11/PSEN1/MPDU1/PLCB1/GMPPA/GFPT1/GALNT7/DSE/EXTL3/FUT10/ARFGEF1/ALG2/DPM2,13,healthy
GO:0046651,BP,GO:0046651,lymphocyte proliferation,12/213,271/13600,0.044280442804428,2.82729587859259,3.83262557278214,0.00117702576727075,0.130695130388871,0.124707547892613,MAPK8IP1/CCDC88B/LMBR1L/IRS2/TMEM131L/IL6ST/FYN/RIPOR2/CDKN1A/CARD11/LYN/RPS6,12,healthy
GO:0032943,BP,GO:0032943,mononuclear cell proliferation,12/213,278/13600,0.0431654676258993,2.75610497517479,3.73155471095652,0.00146245937192159,0.156374822471764,0.149210767107945,MAPK8IP1/CCDC88B/LMBR1L/IRS2/TMEM131L/IL6ST/FYN/RIPOR2/CDKN1A/CARD11/LYN/RPS6,12,healthy
GO:0000377,BP,GO:0000377,RNA splicing, via transesterification reactions with bulged adenosine as nucleophile,12/213,282/13600,0.0425531914893617,2.71701128758366,3.67519050644141,0.00164976329292088,0.164236780229744,0.156712542198691,HNRNPF/UPF3A/SRSF5/DDX42/DDX5/SF3A2/RBM39/SON/METTL14/HNRNPA2B1/NCBP1/SETX,12,healthy
GO:0000398,BP,GO:0000398,mRNA splicing, via spliceosome,12/213,282/13600,0.0425531914893617,2.71701128758366,3.67519050644141,0.00164976329292088,0.164236780229744,0.156712542198691,HNRNPF/UPF3A/SRSF5/DDX42/DDX5/SF3A2/RBM39/SON/METTL14/HNRNPA2B1/NCBP1/SETX,12,healthy
GO:0000375,BP,GO:0000375,RNA splicing, via transesterification reactions,12/213,286/13600,0.041958041958042,2.67901112971536,3.61979496939699,0.00185641675645118,0.178649172529152,0.170464654443254,HNRNPF/UPF3A/SRSF5/DDX42/DDX5/SF3A2/RBM39/SON/METTL14/HNRNPA2B1/NCBP1/SETX,12,healthy
GO:0000082,BP,GO:0000082,G1/S transition of mitotic cell cycle,11/213,201/13600,0.054726368159204,3.49426576039988,4.49372215972642,0.000328498271368176,0.10579892194928,0.10095191830575,WAC/RB1/PLCB1/ID2/JADE1/CCNI/EIF4E/CDKN1A/CDK6/EIF4EBP1/RPS6,11,healthy
GO:0070085,BP,GO:0070085,glycosylation,11/213,210/13600,0.0523809523809524,3.3445115135256,4.31890235803869,0.000476406645424537,0.10579892194928,0.10095191830575,PSEN1/MPDU1/GMPPA/GFPT1/GALNT7/EXTL3/FUT10/ARFGEF1/ALG2/DPM2/GBA2,11,healthy
GO:0010563,BP,GO:0010563,negative regulation of phosphorus metabolic process,11/213,231/13600,0.0476190476190476,3.040465012296,3.94536636281495,0.00104777939341406,0.120997564351455,0.115454259897456,MAPK8IP1/PTPRJ/IRS2/RB1/PTPN1/GMPPA/LPCAT1/STK38/CDKN1A/LYN/TESK1,11,healthy
GO:0045936,BP,GO:0045936,negative regulation of phosphate metabolic process,11/213,231/13600,0.0476190476190476,3.040465012296,3.94536636281495,0.00104777939341406,0.120997564351455,0.115454259897456,MAPK8IP1/PTPRJ/IRS2/RB1/PTPN1/GMPPA/LPCAT1/STK38/CDKN1A/LYN/TESK1,11,healthy
GO:0071900,BP,GO:0071900,regulation of protein serine/threonine kinase activity,10/213,189/13600,0.0529100529100529,3.37829445810666,4.15305422542607,0.000793584584116899,0.120997564351455,0.115454259897456,MAPK8IP1/PTPRJ/TAOK3/RB1/PTPN1/CAB39/STK38/CDKN1A/LYN/TESK1,10,healthy
GO:0006486,BP,GO:0006486,protein glycosylation,10/213,195/13600,0.0512820512820513,3.27434693631877,4.03498818644687,0.0010080157281111,0.120997564351455,0.115454259897456,PSEN1/MPDU1/GMPPA/GFPT1/GALNT7/EXTL3/FUT10/ARFGEF1/ALG2/DPM2,10,healthy
GO:0043413,BP,GO:0043413,macromolecule glycosylation,10/213,195/13600,0.0512820512820513,3.27434693631877,4.03498818644687,0.0010080157281111,0.120997564351455,0.115454259897456,PSEN1/MPDU1/GMPPA/GFPT1/GALNT7/EXTL3/FUT10/ARFGEF1/ALG2/DPM2,10,healthy
GO:0033673,BP,GO:0033673,negative regulation of kinase activity,9/213,122/13600,0.0737704918032787,4.71022858462249,5.19241640370133,0.000126549128129281,0.0724874955914977,0.0691666001724426,MAPK8IP1/PTPRJ/IRS2/RB1/PTPN1/STK38/CDKN1A/LYN/TESK1,9,healthy
GO:0051348,BP,GO:0051348,negative regulation of transferase activity,9/213,143/13600,0.0629370629370629,4.01851669457303,4.57708662212075,0.000416974307224369,0.10579892194928,0.10095191830575,MAPK8IP1/PTPRJ/IRS2/RB1/PTPN1/STK38/CDKN1A/LYN/TESK1,9,healthy
GO:0006469,BP,GO:0006469,negative regulation of protein kinase activity,8/213,115/13600,0.0695652173913043,4.44172280057155,4.6752085730442,0.000447281651311259,0.10579892194928,0.10095191830575,MAPK8IP1/PTPRJ/RB1/PTPN1/STK38/CDKN1A/LYN/TESK1,8,healthy
GO:0071901,BP,GO:0071901,negative regulation of protein serine/threonine kinase activity,7/213,58/13600,0.120689655172414,7.70600615185365,6.45562353875075,3.19809465230764e-05,0.0633943404519419,0.0604900329836953,MAPK8IP1/PTPRJ/RB1/PTPN1/STK38/LYN/TESK1,7,healthy
GO:0043407,BP,GO:0043407,negative regulation of MAP kinase activity,5/213,28/13600,0.178571428571429,11.40174379611,6.94968146878226,6.58756568603483e-05,0.0633943404519419,0.0604900329836953,MAPK8IP1/PTPRJ/PTPN1/STK38/LYN,5,healthy
GO:0010611,BP,GO:0010611,regulation of cardiac muscle hypertrophy,5/213,46/13600,0.108695652173913,6.94019187589304,5.09034602890299,0.000731033667734767,0.120997564351455,0.115454259897456,NFATC3/STUB1/ATP2B4/IL6ST/JARID2,5,healthy
GO:0014009,BP,GO:0014009,glial cell proliferation,5/213,46/13600,0.108695652173913,6.94019187589304,5.09034602890299,0.000731033667734767,0.120997564351455,0.115454259897456,RB1/SKI/NFIA/ORC3/LYN,5,healthy
GO:0014743,BP,GO:0014743,regulation of muscle hypertrophy,5/213,47/13600,0.106382978723404,6.79252821895914,5.01765763162762,0.000807771670607526,0.120997564351455,0.115454259897456,NFATC3/STUB1/ATP2B4/IL6ST/JARID2,5,healthy
GO:0031053,BP,GO:0031053,primary miRNA processing,4/213,18/13600,0.222222222222222,14.188836724048,7.06256630634737,0.000150649453948385,0.0724874955914977,0.0691666001724426,DDX5/SRRT/HNRNPA2B1/NCBP1,4,healthy
