,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0034655,BP,GO:0034655,nucleobase-containing compound catabolic process,28/407,481/13600,0.0582120582120582,1.94516951273708,3.7068992892607,0.000615479563102464,0.156234245442383,0.148954826401049,PFKFB3/CPEB3/RBM7/CAPRIN1/MUS81/IREB2/GSPT1/FTO/STAT3/TOB1/DDX5/FOXK2/CIRBP/SAMD4B/PIAS4/TARDBP/PDE4B/DPYD/RBM38/ADA2/RBM47/PPP2CA/PDE7B/RNASET2/OGDH/UPP1/AGO2/UPF3B,28
GO:0006397,BP,GO:0006397,mRNA processing,27/407,453/13600,0.0596026490066225,1.99163642872252,3.77022398928021,0.000536036987487214,0.151507025677636,0.144447861891291,CELF2/RBM7/SF1/PCF11/SLTM/RBBP6/EFTUD2/DDX5/SRSF2/CIRBP/HNRNPL/TARDBP/WDR77/RPRD2/RBM39/RBM38/RBFOX2/PAPOLG/USP39/MBNL1/RPUSD3/SLBP/RBM47/DDX46/RNGTT/CDK13/UPF3B,27
GO:1903311,BP,GO:1903311,regulation of mRNA metabolic process,23/407,269/13600,0.0855018587360595,2.85706456710174,5.40319560190746,6.22229652707227e-06,0.024621627357625,0.0234744323716074,CELF2/CPEB3/RBM7/CAPRIN1/SF1/SLTM/IREB2/FTO/TOB1/DDX5/SRSF2/CIRBP/HNRNPL/SAMD4B/PIAS4/TARDBP/WDR77/RBM39/RBM38/RBFOX2/RBM47/AGO2/UPF3B,23
GO:0006644,BP,GO:0006644,phospholipid metabolic process,23/407,334/13600,0.0688622754491018,2.30104900763583,4.22839745722332,0.000183525307708026,0.0907762053250824,0.0865466714244165,IDI1/INPP5A/PIP4K2A/IPMK/FADS1/SMPD1/PLCB3/CHKA/DGKA/DDHD1/PGS1/PIP5K1A/DPM1/INPP4A/PLCL2/PIK3CA/PCYT1A/PLCD1/NAAA/LPCAT1/SERINC5/SERAC1/EFR3A,23
GO:0046486,BP,GO:0046486,glycerolipid metabolic process,22/407,326/13600,0.0674846625766871,2.25501575194827,4.02843147393414,0.0003342694458843,0.131424886032793,0.12530140897318,INPP5A/PIP4K2A/IPMK/PLCB3/CHKA/CPT1A/DGKA/DDHD1/ABHD2/PGS1/PIP5K1A/DPM1/INPP4A/PLCL2/PIK3CA/PCYT1A/PLCD1/NAAA/LPCAT1/SERINC5/SERAC1/EFR3A,22
GO:0006650,BP,GO:0006650,glycerophospholipid metabolic process,20/407,266/13600,0.075187969924812,2.51242356505514,4.37535140195492,0.00015082253584993,0.0852578249083103,0.0812854087949095,INPP5A/PIP4K2A/IPMK/PLCB3/CHKA/DGKA/DDHD1/PGS1/PIP5K1A/DPM1/INPP4A/PLCL2/PIK3CA/PCYT1A/PLCD1/NAAA/LPCAT1/SERINC5/SERAC1/EFR3A,20
GO:0051056,BP,GO:0051056,regulation of small GTPase mediated signal transduction,19/407,279/13600,0.0681003584229391,2.27558937236357,3.78114637497979,0.00075120069049059,0.156447428014277,0.149158076161677,SHOC2/DNMBP/PICALM/SWAP70/PLEKHG3/ABR/RASAL3/VAV3/ARHGEF10L/SGSM3/SOS1/ARHGAP31/ARHGAP24/ARHGAP26/TRIO/PLEKHG4B/DOCK2/F2RL1/DENND3,19
GO:0040029,BP,GO:0040029,epigenetic regulation of gene expression,18/407,232/13600,0.0775862068965517,2.59256121325087,4.29720248875291,0.000217523000007776,0.095637612336752,0.0911815709974114,KMT2A/BAZ2A/PPM1D/SMARCA4/DOT1L/SETDB1/PADI2/ARID4B/ARID1A/RIF1/TET3/PIK3CA/TET2/LMNB1/JARID2/KMT2E/HIPK2/ATRX,18
GO:0043484,BP,GO:0043484,regulation of RNA splicing,17/407,170/13600,0.1,3.34152334152334,5.39589954746913,1.36505802689031e-05,0.0270076730620249,0.0257493050967099,CELF2/RBM7/AHNAK/SF1/ATXN7L3/DDX5/SRSF2/CIRBP/HNRNPL/WDR77/RBM39/RBM38/RBFOX2/MBNL1/RBM47/TADA2B/UPF3B,17
GO:0050684,BP,GO:0050684,regulation of mRNA processing,13/407,117/13600,0.111111111111111,3.71280371280371,5.17603190972262,4.69778204676067e-05,0.0371782471180639,0.0354460018012426,CELF2/RBM7/SF1/SLTM/DDX5/SRSF2/CIRBP/HNRNPL/WDR77/RBM39/RBFOX2/RBM47/UPF3B,13
GO:0048024,BP,GO:0048024,regulation of mRNA splicing, via spliceosome,12/407,95/13600,0.126315789473684,4.22087158929264,5.53307846783885,2.54391788826897e-05,0.0335542769462677,0.031990883198442,CELF2/RBM7/SF1/DDX5/SRSF2/CIRBP/HNRNPL/WDR77/RBM39/RBFOX2/RBM47/UPF3B,12
GO:0046488,BP,GO:0046488,phosphatidylinositol metabolic process,12/407,138/13600,0.0869565217391304,2.90567247088986,3.95195436205796,0.000894357076101966,0.176948547506774,0.168703987407866,INPP5A/PIP4K2A/IPMK/PLCB3/DDHD1/PIP5K1A/DPM1/INPP4A/PLCL2/PIK3CA/PLCD1/EFR3A,12
GO:0000380,BP,GO:0000380,alternative mRNA splicing, via spliceosome,8/407,69/13600,0.115942028985507,3.87422996118648,4.20397399423131,0.00101746602026792,0.191719668676198,0.182786878027079,CELF2/RBM7/DDX5/SRSF2/HNRNPL/RBFOX2/RBM47/CDK13,8
GO:0010611,BP,GO:0010611,regulation of cardiac muscle hypertrophy,7/407,46/13600,0.152173913043478,5.08492682405726,4.87425635526586,0.000398559169166923,0.131424886032793,0.12530140897318,P2RX4/FOXO1/SMAD3/MEF2A/SMAD4/FOXP1/JARID2,7
GO:0014743,BP,GO:0014743,regulation of muscle hypertrophy,7/407,47/13600,0.148936170212766,4.97673689163051,4.7966383819522,0.000456434772882604,0.138931722792036,0.132458479838968,P2RX4/FOXO1/SMAD3/MEF2A/SMAD4/FOXP1/JARID2,7
GO:0000381,BP,GO:0000381,regulation of alternative mRNA splicing, via spliceosome,7/407,50/13600,0.14,4.67813267813268,4.57637554276056,0.000671211062047135,0.156234245442383,0.148954826401049,CELF2/RBM7/DDX5/SRSF2/HNRNPL/RBFOX2/RBM47,7
GO:0140719,BP,GO:0140719,constitutive heterochromatin formation,7/407,50/13600,0.14,4.67813267813268,4.57637554276056,0.000671211062047135,0.156234245442383,0.148954826401049,KMT2A/BAZ2A/PPM1D/DOT1L/SETDB1/RIF1/ATRX,7
GO:0010614,BP,GO:0010614,negative regulation of cardiac muscle hypertrophy,6/407,23/13600,0.260869565217391,8.71701741266959,6.50564557626814,4.53423303049158e-05,0.0371782471180639,0.0354460018012426,P2RX4/FOXO1/SMAD3/SMAD4/FOXP1/JARID2,6
GO:0014741,BP,GO:0014741,negative regulation of muscle hypertrophy,6/407,24/13600,0.25,8.35380835380835,6.33302094121779,5.89408098557059e-05,0.038871464099838,0.0370603267583947,P2RX4/FOXO1/SMAD3/SMAD4/FOXP1/JARID2,6
GO:0048536,BP,GO:0048536,spleen development,6/407,33/13600,0.181818181818182,6.07549698458789,5.12710889814298,0.000386176908637582,0.131424886032793,0.12530140897318,NFKB2/KMT2A/RIPK3/PKN1/ADAM17/JARID2,6
GO:0009409,BP,GO:0009409,response to cold,6/407,37/13600,0.162162162162162,5.41868649976758,4.727103175183,0.000732778998183376,0.156447428014277,0.149158076161677,RNF34/FOXO1/HSP90AA1/METRNL/CIRBP/SCN11A,6
