ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Type
BP,GO:1903706,regulation of hemopoiesis,69/1423,381/13600,0.181102362,1.730844783,4.946227885,3.49E-06,0.002362484,0.002118703,ZEB1/IL15RA/KAT6B/ZMIZ1/ZBTB16/UBASH3B/ASCL2/IRF7/RARG/RNF41/MIR17HG/RCOR1/NFKBIA/RASGRP1/FES/IL4R/NF1/IKZF3/RARA/STAT5B/MALT1/JAK3/AP3D1/TGFB1/FSTL3/NOTCH2/RC3H1/PTPRC/CD46/DUSP10/GPR137B/ARID1A/PRDM16/MPL/CTNNBIP1/ZBTB46/RUNX1/EP300/MEIS1/HCLS1/CD86/GATA2/OPA1/SMARCC1/FOXP1/PPP3CA/TMEM131L/SH3RF1/HSPA9/FAXDC2/PIK3R1/AP3B1/MEF2C/PRDM1/MYB/CD83/ARID1B/QKI/IRF4/CDK6/KAT6A/PRKDC/LYN/RIPK2/TMEM64/SMARCA2/CDKN2A/SHB/TFE3,69,AML
BP,GO:1902105,regulation of leukocyte differentiation,58/1423,305/13600,0.190163934,1.817448706,4.935737374,4.48E-06,0.002362484,0.002118703,ZEB1/IL15RA/ZMIZ1/ZBTB16/UBASH3B/ASCL2/IRF7/RNF41/MIR17HG/RASGRP1/FES/IL4R/NF1/IKZF3/RARA/STAT5B/MALT1/JAK3/AP3D1/TGFB1/FSTL3/NOTCH2/RC3H1/PTPRC/CD46/DUSP10/GPR137B/ARID1A/PRDM16/CTNNBIP1/ZBTB46/RUNX1/EP300/HCLS1/CD86/GATA2/OPA1/SMARCC1/FOXP1/PPP3CA/TMEM131L/SH3RF1/PIK3R1/AP3B1/PRDM1/CD83/ARID1B/QKI/IRF4/CDK6/PRKDC/LYN/RIPK2/TMEM64/SMARCA2/CDKN2A/SHB/TFE3,58,AML
BP,GO:0030522,intracellular receptor signaling pathway,63/1423,346/13600,0.182080925,1.740197174,4.767577622,7.71E-06,0.003696363,0.003314942,CTBP2/ZMIZ1/PIK3AP1/NLRX1/IRF7/BANF1/SLC15A4/NR4A1/RARG/USP15/TBK1/CNOT2/NR2C1/LATS2/STRN3/NFKBIA/UBE3A/PML/NOD2/CNOT1/PLCG2/SREBF1/THRA/NR1D1/RARA/NLRP1/DDX5/PER1/EPG5/PIAS2/SIRT2/NR1H2/PTPRS/DHRS3/IFI16/NEK7/INAVA/LYPLAL1/PUM1/NCOA3/PMEPA1/CRKL/MAPK1/EP300/PPARA/PUM2/NCOA1/RTN4/PPARG/FOXP1/PPP2CA/ERBIN/LATS1/ZC3HAV1/PRKDC/NCOA2/RIPK2/RXRA/DNAJA1/JAK2/KDM4C/NR4A3/PDK3,63,AML
BP,GO:0030099,myeloid cell differentiation,67/1423,401/13600,0.167082294,1.596851161,4.147185856,6.96E-05,0.015975064,0.014326625,ABI1/ZBTB16/UBASH3B/PTPRJ/IRF7/GAB2/RARG/RNF41/RCOR1/NFKBIA/LRRK1/PML/IREB2/FES/KAT8/HEATR3/CBFA2T3/NF1/THRA/RARA/STAT5B/SBNO2/DNASE2/TGFB1/FSTL3/NOTCH2/IFI16/GPR137B/TRIM58/PRDM16/PABPC4/MPL/CTNNBIP1/ZBTB46/RUNX1/EP300/CFLAR/VPS54/MEIS1/HCLS1/PPARG/GATA2/IFT80/TFRC/FOXP1/PPP3CA/HSPA9/CSF1R/FAXDC2/PIK3R1/AP3B1/MEF2C/MYB/QKI/IRF4/SRF/CD109/HIPK2/IKZF1/CDK6/KAT6A/PRKDC/LYN/TMEM64/JAK2/VPS13A/TFE3,67,AML
BP,GO:0060828,regulation of canonical Wnt signaling pathway,42/1423,218/13600,0.19266055,1.841309548,4.280646211,6.60E-05,0.015975064,0.014326625,TCF7L2/FAM53B/CCNY/CTNND1/LRRK2/WNK1/LATS2/FOXO1/LRRK1/USP8/CSNK1G1/NLE1/AXIN2/CSNK1D/TGFB1/RNF220/CTNNBIP1/GID8/PRDM15/CBY1/ZEB2/TTC21B/CCNYL1/PPM1B/USP34/GSK3B/NPHP3/PPP2R3A/TBL1XR1/TMEM131L/APC/LATS1/ANKRD6/CDK14/JRK/CCAR2/TMEM64/MLLT3/KANK1/GNAQ/SPIN4/TBL1X,42,AML
BP,GO:1903131,mononuclear cell differentiation,78/1423,493/13600,0.15821501,1.512104103,3.959276652,0.000120072,0.02184483,0.0195907,ZEB1/IL15RA/ZMIZ1/ZBTB16/ASCL2/PTPRJ/IRF7/ITFG2/RNF41/TBK1/CLEC4E/MIR17HG/RASGRP1/FES/IL4R/PLCG2/IKZF3/RARA/STAT5B/HDAC5/MALT1/BCL2/NFATC1/JAK3/AP3D1/TGFB1/NOTCH2/IFI16/RC3H1/PTPRC/CD46/DUSP10/ARID1A/CTNNBIP1/ZBTB46/RUNX1/TRPM2/EP300/NCAPH2/STAT4/CFLAR/HDAC4/MSH2/VPS54/ADAM17/HCLS1/CD86/PPARG/GATA2/PLCL2/OPA1/AZI2/SMARCC1/FOXP1/TMEM131L/SH3RF1/CSF1R/DOCK2/IL6ST/PIK3R1/AP3B1/PRDM1/MYB/CD83/ARID1B/QKI/IRF4/SRF/IKZF1/CDK6/PRKDC/LYN/RIPK2/LRRC8A/SMARCA2/CDKN2A/SHB/VPS13A,78,AML
BP,GO:0051249,regulation of lymphocyte activation,75/1423,473/13600,0.158562368,1.515423895,3.900301324,0.000150447,0.023345843,0.020936827,MAP3K8/ZEB1/IL15RA/ZMIZ1/ZBTB16/ASCL2/TBC1D10C/LRRC32/SLC15A4/RNF41/PIBF1/MIR17HG/RASGRP1/IL4R/NOD2/SUPT6H/IKZF3/RARA/STAT5B/PRKAR1A/MALT1/BCL2/JAK3/AP3D1/TGFB1/TNFAIP8L2/ILDR2/RC3H1/ABL2/PTPRC/CD55/CD46/DUSP10/ARID1A/MPL/BCL10/GLMN/ZNF335/NFATC2/RUNX1/RHBDD3/EP300/SLC39A10/HSPD1/MSH2/CBLB/CD47/CD86/OPA1/TFRC/SMARCC1/PPP3CA/TMEM131L/CD38/SH3RF1/NSD2/IL6ST/AP3B1/MEF2C/PRDM1/FYN/CD83/ARID1B/RIPOR2/IRF4/AKIRIN2/YWHAG/PRKDC/LYN/RIPK2/SMARCA2/CDKN2A/DOCK8/SHB/JAK2,75,AML
BP,GO:2000036,regulation of stem cell population maintenance,17/1423,63/13600,0.26984127,2.578946781,4.29400293,0.000183352,0.025614398,0.022971294,TET1/KDM2B/BCL7A/CNOT2/ING1/ZC3H13/CNOT1/CNOT3/ARID4B/ARID1A/NCOA3/WDR43/SMARCC1/SAP30L/BICRAL/BCL7B/SMARCA2,17,AML
BP,GO:0046637,regulation of alpha-beta T cell differentiation,19/1423,75/13600,0.253333333,2.421175919,4.218864906,0.000194621,0.026328747,0.02361193,ZBTB16/ASCL2/IL4R/RARA/MALT1/JAK3/AP3D1/RC3H1/RUNX1/EP300/CD86/OPA1/SH3RF1/AP3B1/PRDM1/CD83/IRF4/RIPK2/SHB,19,AML
BP,GO:0141193,nuclear receptor-mediated signaling pathway,31/1423,152/13600,0.203947368,1.949180752,4.022792674,0.000200308,0.026420625,0.023694328,CTBP2/ZMIZ1/RARG/CNOT2/NR2C1/STRN3/UBE3A/PML/CNOT1/THRA/RARA/DDX5/PER1/PIAS2/DHRS3/NCOA3/PMEPA1/CRKL/MAPK1/EP300/PPARA/NCOA1/PPARG/FOXP1/LATS1/NCOA2/RXRA/DNAJA1/JAK2/KDM4C/PDK3,31,AML
