Samples	SBS1	SBS2	SBS5	SBS7a	SBS7b	SBS7c	SBS13
scATAC_scMutrace	1212	0	9987	0	0	0	0
scATAC_pub	380	0	2756	0	0	0	0
scRNA_scMutrace	164	0	3178	0	0	0	0
WGS_AML	5546	0	26230	0	0	0	0
WGS_headSCC	9844	21621	57687	0	0	0	26302
WGS_skin	0	0	409910	5482042	1541511	337516	0
WGS_MPN	11435	0	54827	0	0	0	0
scATA_scMutrace_DX	1129	0	9289	0	0	0	0
scATA_scMutrace_REL	941	0	7613	0	0	0	0
scATA_scMutrace_REM	566	0	4689	0	0	0	0
scRNA_scMutrace_DX	129	0	2533	0	0	0	0
scRNA_scMutrace_REL	138	0	2573	0	0	0	0
scRNA_scMutrace_REM	107	0	2194	0	0	0	0
