"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Comparison"
"GO:0015669","gas transport","6/370","22/18805",0.272727272727273,13.8611793611794,8.55094412087235,3.18432395943668e-06,0.00921523845570684,0.00865129727941008,"HBB/HBD/HBG1/HBM/HBQ1/RHAG",6,"DX_vs_REM"
"GO:0019058","viral life cycle","19/370","295/18805",0.064406779661017,3.27343105817682,5.57563068707565,6.65326280590772e-06,0.00921523845570684,0.00865129727941008,"ATG16L2/LDLR/APOE/GRK2/MYH10/RAD23A/MVB12A/BST2/ISG15/TNFRSF4/P4HB/SMC6/IDE/CLEC4G/PCBP1/DYNLT1/ADARB1/BSG/BCL2",19,"DX_vs_REM"
"GO:0015671","oxygen transport","5/370","15/18805",0.333333333333333,16.9414414414414,8.7501246534582,7.32725029608283e-06,0.00921523845570684,0.00865129727941008,"HBB/HBD/HBG1/HBM/HBQ1",5,"DX_vs_REM"
"GO:0042744","hydrogen peroxide catabolic process","6/370","31/18805",0.193548387096774,9.83696599825632,6.97605725656456,2.70551231714765e-05,0.0238797222687633,0.022418364678223,"HBB/HBD/HBG1/HBM/HBQ1/PRDX2",6,"DX_vs_REM"
"GO:0016032","viral process","22/370","421/18805",0.0522565320665083,2.65590293381267,4.86810940771074,3.41003207729767e-05,0.0238797222687633,0.022418364678223,"ATG16L2/LDLR/APOE/EIF3B/GRK2/TFAP4/MYH10/RAD23A/MVB12A/BST2/ISG15/TNFRSF4/P4HB/SMC6/IDE/CLEC4G/PCBP1/DYNLT1/ADARB1/BSG/BCL2/TRIM8",22,"DX_vs_REM"
"GO:0030099","myeloid cell differentiation","23/370","455/18805",0.0505494505494506,2.56914166914167,4.80014362143839,3.79746444772276e-05,0.0238797222687633,0.022418364678223,"FASN/PURB/HMGB3/STAT5A/JAG1/CEBPB/GPR183/KLF1/ISG15/INHBA/HSF1/ZBTB7A/GPR68/IRF8/CBFA2T3/PRTN3/ABI1/SLC4A1/FOSL2/RHAG/HOXA5/HOXA7/HOXA9",23,"DX_vs_REM"
"GO:0030098","lymphocyte differentiation","22/370","432/18805",0.0509259259259259,2.58827577577578,4.73131823571643,5.01162638814246e-05,0.0270126662320878,0.0253595831520291,"HMGB3/KAT2A/STAT5A/TNFSF9/GPR18/GPR183/PRDX2/INHBA/CLCF1/ZBTB7A/HHEX/CD27/IL4R/FLT3LG/CLEC4G/IRF8/CD3E/CD3D/CD3G/SMARCC2/BCL2/FOSL2",22,"DX_vs_REM"
"GO:0034122","negative regulation of toll-like receptor signaling pathway","5/370","22/18805",0.227272727272727,11.5509828009828,7.01497598453646,5.73584483873867e-05,0.0270516782207012,0.0253962077399416,"GPR108/CD300LF/IRAK3/ARRB2/SMPDL3B",5,"DX_vs_REM"
"GO:0042743","hydrogen peroxide metabolic process","7/370","55/18805",0.127272727272727,6.46855036855037,5.75383412473033,9.71191151961605e-05,0.0407144912927904,0.0382229032321731,"HBB/HBD/HBG1/HBM/HBQ1/PRDX2/CYBA",7,"DX_vs_REM"
"GO:0030183","B cell differentiation","11/370","141/18805",0.0780141843971631,3.96501820969906,5.0065547599531,0.000110744079112464,0.0417837410491328,0.0392267185487835,"HMGB3/GPR183/INHBA/CLCF1/ZBTB7A/HHEX/CD27/FLT3LG/IRF8/BCL2/FOSL2",11,"DX_vs_REM"
