"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Comparison"
"GO:0045022","early endosome to late endosome transport","2/24","43/18805",0.0465116279069767,36.4437984496124,8.3177584854823,0.00136529007556406,0.203286835985906,0.164333669808966,"HOOK3/MSN",2,"DX_vs_REM"
"GO:0098927","vesicle-mediated transport between endosomal compartments","2/24","49/18805",0.0408163265306122,31.9812925170068,7.76245054005906,0.0017697679735221,0.203286835985906,0.164333669808966,"HOOK3/MSN",2,"DX_vs_REM"
"GO:0032386","regulation of intracellular transport","3/24","273/18805",0.010989010989011,8.61034798534799,4.52789220379914,0.00488756776315444,0.203286835985906,0.164333669808966,"XPO1/PIK3R1/MSN",3,"DX_vs_REM"
"GO:0002292","T cell differentiation involved in immune response","2/24","97/18805",0.0206185567010309,16.1554982817869,5.3495073916383,0.0067502950688681,0.203286835985906,0.164333669808966,"CD46/PIK3R1",2,"DX_vs_REM"
"GO:0034504","protein localization to nucleus","3/24","322/18805",0.0093167701863354,7.30007763975155,4.07623291405331,0.00771176859774623,0.203286835985906,0.164333669808966,"XPO1/PIK3R1/SUMO3",3,"DX_vs_REM"
"GO:1902105","regulation of leukocyte differentiation","3/24","340/18805",0.00882352941176471,6.91360294117647,3.93358328197897,0.0089479321663099,0.203286835985906,0.164333669808966,"CD46/PRKCA/PIK3R1",3,"DX_vs_REM"
"GO:0046822","regulation of nucleocytoplasmic transport","2/24","119/18805",0.0168067226890756,13.1687675070028,4.76028865022135,0.0100069069063966,0.203286835985906,0.164333669808966,"XPO1/PIK3R1",2,"DX_vs_REM"
"GO:0002761","regulation of myeloid leukocyte differentiation","2/24","130/18805",0.0153846153846154,12.0544871794872,4.52117541163693,0.0118495884361622,0.203286835985906,0.164333669808966,"PRKCA/PIK3R1",2,"DX_vs_REM"
"GO:0002924","negative regulation of humoral immune response mediated by circulating immunoglobulin","1/24","10/18805",0.1,78.3541666666667,8.74649259105644,0.0126925348587762,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:0034351","negative regulation of glial cell apoptotic process","1/24","10/18805",0.1,78.3541666666667,8.74649259105644,0.0126925348587762,0.203286835985906,0.164333669808966,"PRKCA",1,"DX_vs_REM"
"GO:0035655","interleukin-18-mediated signaling pathway","1/24","10/18805",0.1,78.3541666666667,8.74649259105644,0.0126925348587762,0.203286835985906,0.164333669808966,"PIK3R1",1,"DX_vs_REM"
"GO:0071351","cellular response to interleukin-18","1/24","10/18805",0.1,78.3541666666667,8.74649259105644,0.0126925348587762,0.203286835985906,0.164333669808966,"PIK3R1",1,"DX_vs_REM"
"GO:0071803","positive regulation of podosome assembly","1/24","10/18805",0.1,78.3541666666667,8.74649259105644,0.0126925348587762,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:1902965","regulation of protein localization to early endosome","1/24","10/18805",0.1,78.3541666666667,8.74649259105644,0.0126925348587762,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:1902966","positive regulation of protein localization to early endosome","1/24","10/18805",0.1,78.3541666666667,8.74649259105644,0.0126925348587762,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:0002286","T cell activation involved in immune response","2/24","140/18805",0.0142857142857143,11.1934523809524,4.32755608390103,0.0136442909395738,0.203286835985906,0.164333669808966,"CD46/PIK3R1",2,"DX_vs_REM"
"GO:0032388","positive regulation of intracellular transport","2/24","140/18805",0.0142857142857143,11.1934523809524,4.32755608390103,0.0136442909395738,0.203286835985906,0.164333669808966,"PIK3R1/MSN",2,"DX_vs_REM"
"GO:0000491","small nucleolar ribonucleoprotein complex assembly","1/24","11/18805",0.0909090909090909,71.2310606060606,8.32889417599248,0.0139532626674156,0.203286835985906,0.164333669808966,"SHQ1",1,"DX_vs_REM"
"GO:0031666","positive regulation of lipopolysaccharide-mediated signaling pathway","1/24","11/18805",0.0909090909090909,71.2310606060606,8.32889417599248,0.0139532626674156,0.203286835985906,0.164333669808966,"PRKCA",1,"DX_vs_REM"
"GO:0034085","establishment of sister chromatid cohesion","1/24","11/18805",0.0909090909090909,71.2310606060606,8.32889417599248,0.0139532626674156,0.203286835985906,0.164333669808966,"STAG2",1,"DX_vs_REM"
"GO:0034350","regulation of glial cell apoptotic process","1/24","11/18805",0.0909090909090909,71.2310606060606,8.32889417599248,0.0139532626674156,0.203286835985906,0.164333669808966,"PRKCA",1,"DX_vs_REM"
"GO:0035581","sequestering of extracellular ligand from receptor","1/24","11/18805",0.0909090909090909,71.2310606060606,8.32889417599248,0.0139532626674156,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:0061470","T follicular helper cell differentiation","1/24","11/18805",0.0909090909090909,71.2310606060606,8.32889417599248,0.0139532626674156,0.203286835985906,0.164333669808966,"PIK3R1",1,"DX_vs_REM"
"GO:1900180","regulation of protein localization to nucleus","2/24","146/18805",0.0136986301369863,10.7334474885845,4.22056236061039,0.0147744988677603,0.203286835985906,0.164333669808966,"PIK3R1/SUMO3",2,"DX_vs_REM"
"GO:0010269","response to selenium ion","1/24","12/18805",0.0833333333333333,65.2951388888889,7.96419877254104,0.0152124476038838,0.203286835985906,0.164333669808966,"SELENOW",1,"DX_vs_REM"
"GO:0034454","microtubule anchoring at centrosome","1/24","12/18805",0.0833333333333333,65.2951388888889,7.96419877254104,0.0152124476038838,0.203286835985906,0.164333669808966,"HOOK3",1,"DX_vs_REM"
"GO:0043380","regulation of memory T cell differentiation","1/24","12/18805",0.0833333333333333,65.2951388888889,7.96419877254104,0.0152124476038838,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:0051081","nuclear membrane disassembly","1/24","12/18805",0.0833333333333333,65.2951388888889,7.96419877254104,0.0152124476038838,0.203286835985906,0.164333669808966,"PRKCA",1,"DX_vs_REM"
"GO:0070673","response to interleukin-18","1/24","12/18805",0.0833333333333333,65.2951388888889,7.96419877254104,0.0152124476038838,0.203286835985906,0.164333669808966,"PIK3R1",1,"DX_vs_REM"
"GO:0071394","cellular response to testosterone stimulus","1/24","12/18805",0.0833333333333333,65.2951388888889,7.96419877254104,0.0152124476038838,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:1902946","protein localization to early endosome","1/24","12/18805",0.0833333333333333,65.2951388888889,7.96419877254104,0.0152124476038838,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:0033157","regulation of intracellular protein transport","2/24","152/18805",0.0131578947368421,10.3097587719298,4.11962099332452,0.0159439880334057,0.203286835985906,0.164333669808966,"XPO1/PIK3R1",2,"DX_vs_REM"
"GO:0002833","positive regulation of response to biotic stimulus","3/24","425/18805",0.00705882352941176,5.53088235294118,3.37734854814647,0.0163112111232511,0.203286835985906,0.164333669808966,"PRKCA/PIK3R1/RNF125",3,"DX_vs_REM"
"GO:0002934","desmosome organization","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"PRKCA",1,"DX_vs_REM"
"GO:0010960","magnesium ion homeostasis","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"CNNM2",1,"DX_vs_REM"
"GO:0030397","membrane disassembly","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"PRKCA",1,"DX_vs_REM"
"GO:0043379","memory T cell differentiation","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:0045916","negative regulation of complement activation","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
"GO:0070486","leukocyte aggregation","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:0071801","regulation of podosome assembly","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"MSN",1,"DX_vs_REM"
"GO:1900103","positive regulation of endoplasmic reticulum unfolded protein response","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"PIK3R1",1,"DX_vs_REM"
"GO:1900115","extracellular regulation of signal transduction","1/24","13/18805",0.0769230769230769,60.2724358974359,7.64204051277644,0.0164700914743414,0.203286835985906,0.164333669808966,"CD46",1,"DX_vs_REM"
