"","AML10_DX","AML10_REL","AML10_REM","AML11_DX","AML11_REL","AML11_REM","AML12_DX","AML12_REL","AML13_DX","AML13_REL","AML14_DX","AML14_REM","AML15_DX","AML15_REL","AML15_REM","AML16_DX","AML16_REL","AML16_REM","AML17_DX","AML17_REL","AML18_DX","AML18_REL","AML19_DX","AML19_REL","AML1_DX","AML1_REM","AML20_DX","AML20_REM","AML21_DX","AML21_REL","AML21_REM","AML22_DX","AML22_REL","AML22_REM","AML24_DX","AML24_REL","AML24_REM","AML25_DX","AML25_REL","AML25_REM","AML26_DX","AML26_REL","AML26_REM","AML27_DX","AML27_REL","AML27_REM","AML2_DX","AML2_REL","AML2_REM","AML3_DX","AML3_REM","AML4_DX","AML4_REL","AML5_DX","AML5_REL","AML5_REM","AML6_DX","AML6_REL","AML7_DX","AML7_REL","AML7_REM","AML8_DX","AML8_REL","AML8_REM"
"AML10_DX",0.657142857142857,0.657142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML10_REL",0.764705882352941,0.736842105263158,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML10_REM",0.695652173913043,0.666666666666667,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML11_DX",0,0,0,0.666666666666667,0.6875,0.761904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML11_REL",0,0,0,1,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML11_REM",0,0,0,0.611111111111111,0.666666666666667,0.571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML12_DX",0,0,0,0,0,0,0.857142857142857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML12_REL",0,0,0,0,0,0,0.739130434782609,0.628571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML13_DX",0,0,0,0,0,0,0,0,0.68421052631579,0.59375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML13_REL",0,0,0,0,0,0,0,0,0.823529411764706,0.758620689655172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML14_DX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML14_REM",0,0,0,0,0,0,0,0,0,0,0.461538461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML15_DX",0,0,0,0,0,0,0,0,0,0,0,0,0.472222222222222,0.485714285714286,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML15_REL",0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.833333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML15_REM",0,0,0,0,0,0,0,0,0,0,0,0,0.62962962962963,0.642857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AML16_DX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538461538461538,0.636363636363636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
