GeneSymbol	Name	EntrezGeneId	GenomeLocation	Tier
ABI1	abl-interactor 1	10006	10:26746593-26860935	1
ABL2	c-abl oncogene 2, non-receptor tyrosine kinase	27	1:179099327-179229601	1
ACSL6	acyl-CoA synthetase long-chain family member 6	23305	5:131949973-132011662	2
ARHGAP26	Rho GTPase activating protein 26	23092	5:142770377-143229011	1
ARHGEF12	RHO guanine nucleotide exchange factor (GEF) 12 (LARG)	23365	11:120337078-120489936	1
ARNT	aryl hydrocarbon receptor nuclear translocator	405	1:150809705-150876768	1
ASXL2	additional sex combs like 2, transcriptional regulator	55252	2:25741925-25780309	2
BCOR	BCL6 corepressor	54880	X:40051248-40097403	1
BCORL1	BCL6 corepressor-like 1	63035	X:130005188-130058083	1
BCR	breakpoint cluster region	613	22:23180210-23318037	1
CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)	863	16:88874858-88977204	1
CBFB	core-binding factor, beta subunit	865	16:67029245-67101022	1
CBL	Cas-Br-M (murine) ecotropic retroviral transforming	867	11:119206276-119308149	1
CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	868	3:105655461-105869043	1
CDX2	caudal type homeo box transcription factor 2	1045	13:27962137-27971139	1
CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	1050	19:33299934-33302564	1
CHIC2	cysteine-rich hydrophobic domain 2	26511	4:54009789-54064690	2
CLP1	cleavage and polyadenylation factor I subunit 1	10978	11:57657158-57661868	2
CREBBP	CREB binding protein (CBP)	1387	16:3725054-3880726	1
CSF1R	colony stimulating factor 1 receptor	1436	5:150053291-150113372	2
CSF3R	colony stimulating factor 3 receptor (granulocyte)	1441	1:36466043-36483278	1
CTNNA1	Catenin Alpha 1	1495	5:138753423-138935034	2
CUX1	cut-like homeobox 1	1523	7:101816011-102258233	1
DDX10	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	1662	11:108665025-108940930	1
DEK	DEK oncogene (DNA binding)	7913	6:18223868-18264823	1
DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	1788	2:25227855-25342590	1
ELF4	E74-like factor 4 (ets domain transcription factor)	2000	X:130064928-130110495	1
EP300	300 kd E1A-Binding protein gene	2033	22:41091786-41180079	1
ERG	v-ets erythroblastosis virus E26 oncogene like (avian)	2078	21:38380027-38661694	1
FLT3	fms-related tyrosine kinase 3	2322	13:28003274-28100592	1
FNBP1	formin binding protein 1 (FBP17)	23048	9:129887187-130043162	2
FUS	fusion, derived from t(12;16) malignant liposarcoma	2521	16:31180110-31194871	1
