Gene	Type	Ensembl	Chr	Start	End
ABI1	Tier1	ENSG00000136754	10	26746593	26861087
ABL2	Tier1	ENSG00000143322	1	179099330	179229684
ARHGAP26	Tier1	ENSG00000145819	5	142770377	143229011
ARHGEF12	Tier1	ENSG00000196914	11	120336413	120489937
ARNT	Tier1	ENSG00000143437	1	150809713	150876708
BCOR	Tier1	ENSG00000183337	X	40049815	40177329
BCORL1	Tier1	ENSG00000085185	X	129981107	130058071
BCR	Tier1	ENSG00000186716	22	23179704	23318037
CBFA2T3	Tier1	ENSG00000129993	16	88874858	88977207
CBFB	Tier1	ENSG00000067955	16	67028984	67101058
CBL	Tier1	ENSG00000110395	11	119206298	119313926
CBLB	Tier1	ENSG00000114423	3	105655461	105869552
CDX2	Tier1	ENSG00000165556	13	27960918	27969315
CEBPA	Tier1	ENSG00000245848	19	33299934	33302534
CREBBP	Tier1	ENSG00000005339	16	3725054	3880713
CSF3R	Tier1	ENSG00000119535	1	36466043	36483278
CUX1	Tier1	ENSG00000257923	7	101815904	102283958
DDX10	Tier1	ENSG00000178105	11	108665058	108940999
DEK	Tier1	ENSG00000124795	6	18223860	18264548
DNMT3A	Tier1	ENSG00000119772	2	25227855	25342590
ELF4	Tier1	ENSG00000102034	X	130063955	130110716
EP300	Tier1	ENSG00000100393	22	41092510	41180077
ERG	Tier1	ENSG00000157554	21	38380027	38661780
FLT3	Tier1	ENSG00000122025	13	28003274	28100592
FUS	Tier1	ENSG00000089280	16	31180138	31196963
GAS7	Tier1	ENSG00000007237	17	9910606	10198606
GATA2	Tier1	ENSG00000179348	3	128479427	128493201
HOXA13	Tier1	ENSG00000106031	7	27193503	27200091
HOXA9	Tier1	ENSG00000078399	7	27162438	27175180
HOXC11	Tier1	ENSG00000123388	12	53973126	53977643
HOXC13	Tier1	ENSG00000123364	12	53938831	53946544
HOXD11	Tier1	ENSG00000128713	2	176104216	176109754
HOXD13	Tier1	ENSG00000128714	2	176092721	176095944
JAK2	Tier1	ENSG00000096968	9	4984390	5129948
KAT6A	Tier1	ENSG00000083168	8	41929479	42051994
KAT6B	Tier1	ENSG00000156650	10	74824927	75032624
KDM5A	Tier1	ENSG00000073614	12	280057	389320
KIT	Tier1	ENSG00000157404	4	54657267	54740783
KMT2A	Tier1	ENSG00000118058	11	118436456	118526832
KNL1	Tier1	ENSG00000137812	15	40594020	40664342
KRAS	Tier1	ENSG00000133703	12	25205246	25250936
LASP1	Tier1	ENSG00000002834	17	38869859	38921770
LEF1	Tier1	ENSG00000138795	4	108047545	108168956
MECOM	Tier1	ENSG00000085276	3	169083499	169663775
MLF1	Tier1	ENSG00000178053	3	158571163	158607252
MN1	Tier1	ENSG00000169184	22	27748277	27801756
MYH11	Tier1	ENSG00000133392	16	15703135	15857028
NCOA2	Tier1	ENSG00000140396	8	70109782	70403808
NPM1	Tier1	ENSG00000181163	5	171387116	171411810
NRAS	Tier1	ENSG00000213281	1	114704469	114716771
NSD1	Tier1	ENSG00000165671	5	177131830	177300213
NSD3	Tier1	ENSG00000147548	8	38269704	38382272
NUP214	Tier1	ENSG00000126883	9	131125573	131234663
NUP98	Tier1	ENSG00000110713	11	3671083	3797792
PDGFRB	Tier1	ENSG00000113721	5	150113839	150155872
PER1	Tier1	ENSG00000179094	17	8140467	8156506
PICALM	Tier1	ENSG00000073921	11	85957175	86069882
PRDM16	Tier1	ENSG00000142611	1	3069168	3438621
PRRX1	Tier1	ENSG00000116132	1	170662728	170739421
PSIP1	Tier1	ENSG00000164985	9	15464066	15510995
PTPN11	Tier1	ENSG00000179295	12	112418351	112509918
RAD21	Tier1	ENSG00000164754	8	116845934	116874776
RPL22	Tier1	ENSG00000116251	1	6185020	6209389
RPN1	Tier1	ENSG00000163902	3	128619969	128681075
RUNX1	Tier1	ENSG00000159216	21	34787801	36004667
RUNX1T1	Tier1	ENSG00000079102	8	91954972	92103385
SETBP1	Tier1	ENSG00000152217	18	44680173	45068510
SH2B3	Tier1	ENSG00000111252	12	111405923	111451623
TET1	Tier1	ENSG00000138336	10	68560337	68694487
TOP1	Tier1	ENSG00000198900	20	41028822	41124487
TRIP11	Tier1	ENSG00000100815	14	91965991	92040896
